show,city,latitude,longitude,venue,date
1,'Orlando, FL',28.5392,-81.383965,Kia Center,6/11/26
2,'Orlando, FL',28.5392,-81.383965,Kia Center,6/12/26
3,'Philadelphia, PA',39.9061,-75.1665,Citizens Bank Park,6/26/26
4,'Toronto, ON',43.6414,-79.3894,Rogers Stadium,6/28/26
5,'Cincinnati, OH',39.0975,-84.5071,Great American Ball Park,7/1/26
6,'Pittsburgh, PA',40.4471,-80.0064,PNC Park,7/3/26
7,'Boston, MA',42.3467,-71.0972,Fenway Park,7/7/26
8,'Boston, MA',42.3467,-71.0972,Fenway Park,7/8/26
9,'Boston, MA',42.3467,-71.0972,Fenway Park,7/10/26
10,'Boston, MA',42.3467,-71.0972,Fenway Park,7/11/26
11,'Chicago, IL',41.9484,-87.6553,Wrigley Field,7/14/26
12,'Chicago, IL',41.9484,-87.6553,Wrigley Field,7/15/26
13,'Queens, NY',40.7571,-73.8458,Citi Field,7/18/26
14,'Queens, NY',40.7571,-73.8458,Citi Field,7/19/26
15,'Washington, DC',38.8730,-77.0074,Nationals Park,7/22/26
16,'Raleigh, NC',35.8008,-78.7194,Carter-Finley Stadium,7/25/26
17,'Atlanta, GA',33.8908,-84.4678,Truist Park,7/27/26
18,'Arlington, TX',32.7473,-97.0841,Globe Life Field,7/30/26
19,'St. Louis, MO',38.6226,-90.1928,Busch Stadium,8/2/26
20,'Minneapolis, MN',44.9817,-93.2778,Target Field,8/5/26
21,'Denver, CO',39.7559,-104.9942,Coors Field,8/8/26
22,'Denver, CO',39.7559,-104.9942,Coors Field,8/9/26
23,'Pasadena, CA',34.1613,-118.1676,Rose Bowl Stadium,8/15/26
24,'San Diego, CA',32.7073,-117.1569,Petco Park,8/17/26
25,'Phoenix, AZ',33.4453,-112.0667,Chase Field,8/19/26
26,'San Francisco, CA',37.7786,-122.3893,Oracle Park,8/21/26
27,'Sandy, UT',40.5829,-111.8906,America First Field,8/25/26
28,'Vancouver, BC',49.2767,-123.1120,BC Place,8/28/26
29,'Seattle, WA',47.5914,-122.3325,T-Mobile Park,8/30/26
30,'Seattle, WA',47.5914,-122.3325,T-Mobile Park,8/31/26
